V0,P0,Seed,Closure Time,Traction,Strain
10.0,3.8,5,43.2,0.2566045522839095,0.0058079732713016185
10.0,4.0,1,57.60000000000001,0.24252931716595283,0.005544382872717695
10.0,4.0,2,45.60000000000001,0.26075460732768285,0.007123753688875634
10.0,4.0,3,46.800000000000004,0.2569865847854834,0.006870391248082447
10.0,4.0,4,44.400000000000006,0.24856132333883454,0.006111123274703819
10.0,4.0,5,54.0,0.2500008127460982,0.005919749323153648
20.0,3.0,1,92.4,0.2851236137200644,0.009125735865470105
20.0,3.0,2,68.4,0.31019023892584047,0.010219673881299943
20.0,3.0,3,69.60000000000001,0.3022388768112608,0.01013940643616771
20.0,3.0,4,73.2,0.3015611317337338,0.009461756374523443
20.0,3.0,5,66.0,0.32020256476493525,0.010539216581059118
20.0,3.2,1,69.60000000000001,0.3198046839378485,0.009918828309362401
20.0,3.2,2,55.2,0.32325262127845117,0.010470238215199792
20.0,3.2,3,78.0,0.30654958638896823,0.009827098077783524
20.0,3.2,4,72.0,0.32310279829021976,0.011165721043605465
20.0,3.2,5,52.800000000000004,0.32881216589041495,0.010514276407903565
20.0,3.4,1,55.2,0.3464269478970608,0.011619960160989002
20.0,3.4,2,55.2,0.3424428008822984,0.011100797213832994
20.0,3.4,3,50.4,0.35093961457121164,0.01182396722534611
20.0,3.4,4,52.800000000000004,0.33868932205972674,0.010011773920785696
20.0,3.4,5,46.800000000000004,0.3652799833713524,0.012112340929433352
20.0,3.6,1,58.80000000000001,0.34018318137002596,0.010197928947444259
20.0,3.6,2,42.0,0.3577200402583495,0.011073550790227942
20.0,3.6,3,56.400000000000006,0.33455305013847597,0.009926428136032181
20.0,3.6,4,52.800000000000004,0.3553145609194756,0.011363630497398145
20.0,3.6,5,49.20000000000001,0.3699629754678335,0.012169095123329577
20.0,3.8,1,45.60000000000001,0.37183032368918467,0.010963976567760457
20.0,3.8,2,50.4,0.3694813181949331,0.013615675357784126
20.0,3.8,3,46.800000000000004,0.36331991799727853,0.010932230144350808
20.0,3.8,4,56.400000000000006,0.37907000919729184,0.01279815575168206
20.0,3.8,5,51.6,0.38047165909182,0.012411091735259384
20.0,4.0,1,55.2,0.38376983464175235,0.012532009945242898
20.0,4.0,2,48.00000000000001,0.3800853693031975,0.012493800122067245
20.0,4.0,3,51.6,0.3845874072559228,0.012849887461706816
20.0,4.0,4,67.2,0.3834759456624124,0.012920423950242996
20.0,4.0,5,46.800000000000004,0.3996588907549863,0.013231305659226828
30.0,3.0,1,68.4,0.4015856260954215,0.017726107122150617
30.0,3.0,2,58.80000000000001,0.39297795888925324,0.014655920150557332
30.0,3.0,3,94.80000000000001,0.35726919684995934,0.015416243736560396
30.0,3.0,4,60.00000000000001,0.4203483365738281,0.01826942075984669
30.0,3.0,5,60.00000000000001,0.40442107404466565,0.01707105221700046
30.0,3.2,1,58.80000000000001,0.421600852365194,0.017783772206841648
30.0,3.2,2,68.4,0.4036885773111969,0.016380072788000605
30.0,3.2,3,58.80000000000001,0.4244569107598092,0.017441364782796828
30.0,3.2,4,72.0,0.41294883562687074,0.0174094474378448
30.0,3.2,5,54.0,0.43024667270209316,0.018043313160773053
30.0,3.4,1,49.20000000000001,0.4603573127092939,0.019830980872366528
30.0,3.4,2,50.4,0.4604647811394561,0.01843780925181758
30.0,3.4,3,49.20000000000001,0.4430507417644628,0.01832089401690637
30.0,3.4,4,45.60000000000001,0.45540001567463745,0.017996488100094615
30.0,3.4,5,68.4,0.4382572780073527,0.0172621780757374
30.0,3.6,1,46.800000000000004,0.4474990353624338,0.01793479765104819
30.0,3.6,2,48.00000000000001,0.4844092392539333,0.019798613453933526
30.0,3.6,3,58.80000000000001,0.4437637886632145,0.01747738887185952
30.0,3.6,4,46.800000000000004,0.4598317437229653,0.018064594084131417
30.0,3.6,5,52.800000000000004,0.48063746399671065,0.020467212842866823
30.0,3.8,1,51.6,0.5023940819030345,0.020729516710076206
30.0,3.8,2,61.2,0.4896527712391441,0.021842603626064012
30.0,3.8,3,46.800000000000004,0.4789572213708542,0.01935831689533866
30.0,3.8,4,61.2,0.4748995319228629,0.018411990190724634
30.0,3.8,5,42.0,0.5114958393111283,0.019916105002485196
30.0,4.0,1,54.0,0.5105885089302901,0.02023079669604915
30.0,4.0,2,49.20000000000001,0.5280526162729957,0.02241663987970728
30.0,4.0,3,43.2,0.5214922698651405,0.021517866449616615
30.0,4.0,4,63.6,0.510854582367069,0.023080948922025456
30.0,4.0,5,51.6,0.5076691065338822,0.021338411177922213
40.0,3.0,1,57.60000000000001,0.4944060854606463,0.02567675136931316
40.0,3.0,2,90.0,0.469419648269977,0.025914920094912183
40.0,3.0,3,50.4,0.5033431267572761,0.026692586413192766
40.0,3.0,4,60.00000000000001,0.48556671105052474,0.024493321581669808
40.0,3.0,5,50.4,0.5070104745910708,0.02674339186616611
40.0,3.2,1,64.80000000000001,0.5254274929411948,0.026706904756869508
40.0,3.2,2,52.800000000000004,0.5364746515543461,0.02820757330206977
40.0,3.2,3,55.2,0.5232901904365016,0.026167467836372447
40.0,3.2,4,62.400000000000006,0.5168692750217179,0.025884489535013225
40.0,3.2,5,54.0,0.5152847551032785,0.025791962254126923
40.0,3.4,1,45.60000000000001,0.5573987764450775,0.02728572352688272
40.0,3.4,2,46.800000000000004,0.5454836796413438,0.027102750989575562
40.0,3.4,3,49.20000000000001,0.5664280259438653,0.028311964722520594
40.0,3.4,4,45.60000000000001,0.5628429257111925,0.02764977961525691
40.0,3.4,5,50.4,0.5650536320785114,0.03055464550185707
40.0,3.6,1,45.60000000000001,0.5828650694499667,0.027991103795152055
40.0,3.6,2,42.0,0.6021450504407317,0.032787128585251395
40.0,3.6,3,55.2,0.599225394254085,0.03289728450329857
40.0,3.6,4,49.20000000000001,0.6122634715811307,0.033469522648198385
40.0,3.6,5,49.20000000000001,0.5943731688672688,0.03214853674707428
40.0,3.8,1,46.800000000000004,0.602844410448591,0.029980606646688657
40.0,3.8,2,48.00000000000001,0.6089663037692788,0.03111167478213324
40.0,3.8,3,56.400000000000006,0.6067918520991779,0.03334261684086955
40.0,3.8,4,58.80000000000001,0.6235378685931932,0.032813859450537296
40.0,3.8,5,57.60000000000001,0.6309220022952297,0.0361631464659068
40.0,4.0,1,56.400000000000006,0.6900614079726982,0.0423541965223568
40.0,4.0,2,49.20000000000001,0.6634959232728969,0.0342960773084948
40.0,4.0,3,46.800000000000004,0.6782385994490386,0.03753220907060436
40.0,4.0,4,42.0,0.6957985985516303,0.03706325637597912
40.0,4.0,5,40.8,0.6973003413110763,0.03681940181669385
50.0,3.0,1,79.2,0.5574313420986124,0.034576974640423
50.0,3.0,2,50.4,0.6190748380731457,0.03992577633077027
50.0,3.0,3,64.80000000000001,0.5941943908298012,0.04010651616473464
50.0,3.0,4,157.20000000000002,0.5641324960268645,0.03913996569191014
50.0,3.0,5,54.0,0.6026095544752481,0.040694103238827065
50.0,3.2,1,54.0,0.6385013034044463,0.041368217048417075
50.0,3.2,2,58.80000000000001,0.6115241751993945,0.0357002053501308
50.0,3.2,3,46.800000000000004,0.6551716036865637,0.04332678486066018
50.0,3.2,4,48.00000000000001,0.6635737367126093,0.04239708462793381
50.0,3.2,5,40.8,0.6415308464729261,0.03792532933742275
50.0,3.4,1,63.6,0.7021232443541321,0.050430176518688676
50.0,3.4,2,62.400000000000006,0.6857811285897468,0.04811923703006971
50.0,3.4,3,48.00000000000001,0.6933509835564549,0.04524357689770063
50.0,3.4,4,49.20000000000001,0.6683637784433915,0.03944946646918786
50.0,3.4,5,42.0,0.6817244254013428,0.04088096960132638
50.0,3.6,1,45.60000000000001,0.7159380757809848,0.044344076420828465
50.0,3.6,2,55.2,0.7172318866359588,0.04589321958880964
50.0,3.6,3,45.60000000000001,0.7356596148197234,0.048664074691207565
50.0,3.6,4,63.6,0.6999637156601962,0.047077588765871856
50.0,3.6,5,49.20000000000001,0.7170040894532441,0.04520481138501241
50.0,3.8,1,42.0,0.7471785371575939,0.04265934921577982
50.0,3.8,2,46.800000000000004,0.7604325796087761,0.049736415786135385
50.0,3.8,3,49.20000000000001,0.7916060206406018,0.05344215579040998
50.0,3.8,4,49.20000000000001,0.8007548513930771,0.05340846741703672
50.0,3.8,5,49.20000000000001,0.7434647288249177,0.04893529186322517
50.0,4.0,1,50.4,0.7828646839875354,0.05196571155988707
50.0,4.0,2,56.400000000000006,0.7882493185778756,0.0522183390111474
50.0,4.0,3,44.400000000000006,0.8095095926265137,0.05257952517570071
50.0,4.0,4,60.00000000000001,0.8041715291817318,0.05499120105401551
50.0,4.0,5,43.2,0.8457802390469245,0.06073374968967178
